                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3318,                0.95929,                0.99961,                 2.6392,              0.0033325,              0.0033325,              0.0033325
                      2,                0.22893,                0.97958,                0.99987,                 2.5827,              0.0062533,              0.0062533,              0.0062533
                      3,                0.17794,                0.98076,                0.99993,                 2.5755,              0.0087617,              0.0087617,              0.0087617
                      4,                0.16951,                0.98871,                0.99993,                 2.5645,              0.0081437,              0.0081437,              0.0081437
                      5,                0.11733,                0.99087,                0.99993,                 2.5605,               0.007525,               0.007525,               0.007525
                      6,                0.09405,                0.99488,                      1,                 2.5561,              0.0069063,              0.0069063,              0.0069063
                      7,                 0.0752,                0.99567,                      1,                  2.554,              0.0062875,              0.0062875,              0.0062875
                      8,                0.06283,                0.99645,                      1,                  2.553,              0.0056688,              0.0056688,              0.0056688
                      9,                0.05551,                0.99645,                      1,                 2.5527,                0.00505,                0.00505,                0.00505
                     10,                0.04612,                0.99724,                      1,                 2.5514,              0.0044313,              0.0044313,              0.0044313
                     11,                0.03733,                 0.9979,                0.99993,                  2.551,              0.0038125,              0.0038125,              0.0038125
                     12,                0.03601,                 0.9981,                0.99993,                 2.5507,              0.0031938,              0.0031938,              0.0031938
                     13,                0.02877,                 0.9981,                0.99993,                 2.5507,               0.002575,               0.002575,               0.002575
                     14,                0.02333,                0.99836,                0.99993,                 2.5505,              0.0019563,              0.0019563,              0.0019563
                     15,                0.02109,                0.99816,                0.99993,                 2.5502,              0.0013375,              0.0013375,              0.0013375
                     16,                 0.0177,                0.99829,                0.99993,                 2.5501,             0.00071875,             0.00071875,             0.00071875
