                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0727,                0.95451,                 0.9998,                  2.201,              0.0002379,              0.0002379,              0.0002379
                      2,                0.22299,                0.97608,                 0.9998,                 2.1637,             0.00043664,             0.00043664,             0.00043664
                      3,                0.16522,                0.98007,                 0.9998,                 2.1528,             0.00059611,             0.00059611,             0.00059611
                      4,                0.12343,                0.98876,                 0.9999,                 2.1416,             0.00053728,             0.00053728,             0.00053728
                      5,                0.09726,                 0.9906,                      1,                 2.1382,             0.00047838,             0.00047838,             0.00047838
                      6,                0.07979,                0.99203,                      1,                 2.1357,             0.00041947,             0.00041947,             0.00041947
                      7,                0.06341,                0.99479,                 0.9999,                 2.1333,             0.00036057,             0.00036057,             0.00036057
                      8,                0.05692,                0.99417,                 0.9999,                 2.1335,             0.00030167,             0.00030167,             0.00030167
                      9,                0.05021,                 0.9954,                 0.9999,                 2.1311,             0.00024276,             0.00024276,             0.00024276
                     10,                 0.0398,                 0.9954,                 0.9999,                 2.1311,             0.00018385,             0.00018385,             0.00018385
                     11,                0.03539,                0.99673,                 0.9999,                 2.1294,             0.00012495,             0.00012495,             0.00012495
                     12,                0.03074,                0.99642,                 0.9999,                 2.1292,             6.6045e-05,             6.6045e-05,             6.6045e-05
