                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                0.08333,                0.58333,                    nan,                      0,                      0,                      0
                      2,                    nan,                0.08333,                0.58333,                    nan,             7.0693e-06,             7.0693e-06,             7.0693e-06
                      3,                    nan,                0.08333,                0.58333,                    nan,             1.3997e-05,             1.3997e-05,             1.3997e-05
                      4,                    nan,                0.08333,                0.58333,                    nan,             2.0784e-05,             2.0784e-05,             2.0784e-05
                      5,                    nan,                0.08333,                0.58333,                    nan,             2.7429e-05,             2.7429e-05,             2.7429e-05
                      6,                    nan,                0.08333,                0.58333,                    nan,             3.3933e-05,             3.3933e-05,             3.3933e-05
                      7,                    nan,                0.08333,                0.58333,                    nan,             4.0295e-05,             4.0295e-05,             4.0295e-05
                      8,                    nan,                0.08333,                0.58333,                    nan,             4.6516e-05,             4.6516e-05,             4.6516e-05
                      9,                    nan,                0.08333,                0.58333,                    nan,             5.2596e-05,             5.2596e-05,             5.2596e-05
                     10,                    nan,                0.08333,                0.58333,                    nan,             5.8534e-05,             5.8534e-05,             5.8534e-05
                     11,                    nan,                0.08333,                0.58333,                    nan,             6.4331e-05,             6.4331e-05,             6.4331e-05
                     12,                    nan,                0.08333,                0.58333,                    nan,             6.9987e-05,             6.9987e-05,             6.9987e-05
                     13,                    nan,                0.08333,                0.58333,                    nan,             7.5501e-05,             7.5501e-05,             7.5501e-05
                     14,                    nan,                0.08333,                0.58333,                    nan,             8.0874e-05,             8.0874e-05,             8.0874e-05
                     15,                    nan,                0.08333,                0.58333,                    nan,             8.6106e-05,             8.6106e-05,             8.6106e-05
                     16,                    nan,                0.08333,                0.58333,                    nan,             9.1196e-05,             9.1196e-05,             9.1196e-05
                     17,                    nan,                0.08333,                0.58333,                    nan,             9.6144e-05,             9.6144e-05,             9.6144e-05
                     18,                    nan,                0.08333,                0.58333,                    nan,             0.00010095,             0.00010095,             0.00010095
                     19,                    nan,                0.08333,                0.58333,                    nan,             0.00010562,             0.00010562,             0.00010562
                     20,                    nan,                0.08333,                0.58333,                    nan,             0.00011014,             0.00011014,             0.00011014
                     21,                    nan,                0.08333,                0.58333,                    nan,             0.00011453,             0.00011453,             0.00011453
                     22,                    nan,                0.08333,                0.58333,                    nan,             0.00011877,             0.00011877,             0.00011877
                     23,                    nan,                0.08333,                0.58333,                    nan,             0.00012287,             0.00012287,             0.00012287
                     24,                    nan,                0.08333,                0.58333,                    nan,             0.00012683,             0.00012683,             0.00012683
                     25,                    nan,                0.08333,                0.58333,                    nan,             0.00013064,             0.00013064,             0.00013064
                     26,                    nan,                0.08333,                0.58333,                    nan,             0.00013432,             0.00013432,             0.00013432
                     27,                    nan,                0.08333,                0.58333,                    nan,             0.00013786,             0.00013786,             0.00013786
                     28,                    nan,                0.08333,                0.58333,                    nan,             0.00014125,             0.00014125,             0.00014125
                     29,                    nan,                0.08333,                0.58333,                    nan,              0.0001445,              0.0001445,              0.0001445
                     30,                    nan,                0.08333,                0.58333,                    nan,             0.00014761,             0.00014761,             0.00014761
                     31,                    nan,                0.08333,                0.58333,                    nan,             0.00015058,             0.00015058,             0.00015058
                     32,                    nan,                0.08333,                0.58333,                    nan,             0.00015341,             0.00015341,             0.00015341
                     33,                    nan,                0.08333,                0.58333,                    nan,              0.0001561,              0.0001561,              0.0001561
                     34,                    nan,                0.08333,                0.58333,                    nan,             0.00015864,             0.00015864,             0.00015864
                     35,                    nan,                0.08333,                0.58333,                    nan,             0.00016105,             0.00016105,             0.00016105
                     36,                    nan,                0.08333,                0.58333,                    nan,             0.00016331,             0.00016331,             0.00016331
                     37,                    nan,                0.08333,                0.58333,                    nan,             0.00016543,             0.00016543,             0.00016543
                     38,                    nan,                0.08333,                0.58333,                    nan,             0.00016741,             0.00016741,             0.00016741
                     39,                    nan,                0.08333,                0.58333,                    nan,             0.00016925,             0.00016925,             0.00016925
                     40,                    nan,                0.08333,                0.58333,                    nan,             0.00017095,             0.00017095,             0.00017095
                     41,                    nan,                0.08333,                0.58333,                    nan,              0.0001725,              0.0001725,              0.0001725
                     42,                    nan,                0.08333,                0.58333,                    nan,             0.00017392,             0.00017392,             0.00017392
