                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0693,                 3.5086,                 1.5133,                 0.6198,                0.87758,                0.88783,                 0.6127,                 1.3948,                 1.2681,                 1.2523,                      0,                      0,                      0
                      2,                 1.1325,                 2.7848,                 1.4402,                0.59794,                0.89659,                0.88796,                0.62334,                 1.4116,                 1.2874,                 1.2543,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.0188,                 2.1229,                  1.264,                0.59362,                 0.8807,                0.88619,                0.62487,                 1.4233,                 1.3137,                 1.2613,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.0504,                 2.9583,                 1.3973,                0.53805,                0.83333,                0.87427,                0.61096,                 1.4426,                 1.3432,                 1.2681,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3111,                 2.3571,                 1.6359,                0.58187,                0.83333,                0.87223,                0.59079,                 1.4691,                 1.3998,                 1.2836,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.78378,                 2.3694,                 1.1606,                0.82604,                0.56667,                0.87219,                0.56926,                 1.4854,                 1.4701,                 1.2991,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                  1.332,                 3.6359,                 1.6406,                 0.8153,                0.56667,                0.88305,                0.57166,                 1.5026,                 1.5317,                 1.3121,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.2605,                 3.8382,                 1.6529,                0.81141,                0.57375,                0.81116,                0.58137,                 1.5072,                 1.6294,                 1.3222,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 0.8186,                 2.6752,                 1.2608,                0.80686,                0.58105,                0.77243,                 0.5703,                 1.5202,                  1.668,                 1.3326,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 0.9414,                 2.2547,                 1.2949,                0.79751,                0.58333,                0.74268,                0.55833,                 1.5209,                  1.698,                 1.3382,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.2846,                 2.6136,                 1.5886,                0.78537,                0.58333,                0.74188,                0.55729,                 1.5194,                 1.6712,                 1.3377,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.98449,                 2.3683,                 1.3183,                0.75493,                0.58333,                0.74181,                0.55689,                 1.5055,                 1.6956,                   1.33,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.3775,                 3.0631,                 1.7127,                0.69944,                0.58333,                0.74169,                0.52402,                 1.5253,                 1.7538,                 1.3363,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.0468,                 2.4222,                 1.4965,                0.68217,                0.58333,                0.74168,                0.55691,                 1.5339,                 1.8014,                 1.3466,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.3128,                 2.8131,                 1.6006,                0.94064,                0.37502,                0.74284,                0.55706,                 1.5341,                 1.8306,                 1.3474,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.2165,                 1.8505,                 1.4853,                0.94108,                0.37781,                0.74271,                0.50737,                 1.5167,                 1.8415,                 1.3379,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.97068,                 1.6324,                 1.3073,                0.94112,                0.37998,                0.65952,                0.49107,                 1.5167,                 1.8622,                 1.3417,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.66332,                 1.3679,                 1.0082,                0.94112,                0.37998,                0.65952,                0.49107,                 1.5167,                 1.8622,                 1.3417,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.76926,                 1.6647,                  1.069,                0.94056,                0.38059,                0.63156,                0.47424,                 1.5275,                 1.9291,                 1.3525,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.1211,                 1.8013,                 1.3614,                0.94056,                0.38059,                0.63156,                0.47424,                 1.5275,                 1.9291,                 1.3525,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 0.8277,                 1.8332,                  1.242,                0.94069,                0.38333,                 0.6314,                0.45288,                 1.5775,                 2.0158,                 1.3777,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 0.9969,                 1.7405,                 1.2138,                0.94069,                0.38333,                 0.6314,                0.45288,                 1.5775,                 2.0158,                 1.3777,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.96685,                 1.7439,                 1.4093,                 0.9378,                0.38333,                0.60913,                0.44188,                 1.5961,                 2.0934,                 1.4006,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.92551,                 1.4944,                 1.2823,                 0.9378,                0.38333,                0.60913,                0.44188,                 1.5961,                 2.0934,                 1.4006,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.88296,                 1.9559,                  1.244,                0.94019,                0.38333,                 0.6318,                0.42894,                 1.6391,                 2.1645,                 1.4254,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.79217,                 1.2931,                 1.1486,                0.94019,                0.38333,                 0.6318,                0.42894,                 1.6391,                 2.1645,                 1.4254,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.0081,                 1.5327,                 1.3642,                0.94229,                0.38125,                0.58488,                0.43202,                 1.7086,                  2.263,                 1.4849,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.97444,                  1.137,                 1.2785,                0.94229,                0.38125,                0.58488,                0.43202,                 1.7086,                  2.263,                 1.4849,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.93594,                 1.4142,                 1.2631,                0.77437,                0.38161,                 0.5761,                0.44684,                 1.6977,                  2.286,                 1.4899,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.0021,                 1.3222,                 1.3332,                0.77437,                0.38161,                 0.5761,                0.44684,                 1.6977,                  2.286,                 1.4899,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.91908,                 1.7046,                 1.3223,                0.77351,                 0.3797,                0.57613,                 0.4459,                 1.7105,                  2.368,                 1.5125,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 0.7841,                 1.5912,                 1.3304,                0.77351,                 0.3797,                0.57613,                 0.4459,                 1.7105,                  2.368,                 1.5125,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0673,                 1.7299,                 1.3405,                0.77326,                0.37552,                0.57726,                0.44617,                 1.6835,                 2.3562,                 1.4994,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.1992,                 1.8956,                 1.5437,                0.77326,                0.37552,                0.57726,                0.44617,                 1.6835,                 2.3562,                 1.4994,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.89331,                 1.1181,                 1.2629,                0.77453,                0.37919,                0.49449,                0.35516,                 1.6773,                 2.3519,                 1.4937,             2.6841e-05,             2.6841e-05,             2.6841e-05
